"row_id","x","y","z","Mvir","Mtot"
1,49.327,199.1012,207.948,241160000000000,247310000000000
2,49.529,212.1873,177.0061,77902000000000,78448000000000
3,49.6619,176.0421,69.5406,76773000000000,78854000000000
4,49.9891,137.9794,41.3024,67898000000000,68901000000000
5,49.2885,236.0935,184.0037,55529000000000,55850000000000
6,49.815,63.5875,102.4687,53508000000000,53682000000000
7,49.2238,127.8448,209.0815,42864000000000,42932000000000
8,49.4248,78.5371,197.2009,38036000000000,38083000000000
9,49.4756,126.6783,24.7596,32796000000000,34602000000000
10,49.1163,17.7242,249.3998,31083000000000,34913000000000
11,49.3521,32.87,155.8808,25552000000000,26293000000000
12,49.3167,83.5828,189.8641,22241000000000,23266000000000
13,49.4886,150.7854,240.7315,21634000000000,21865000000000
14,49.6441,189.2097,206.1022,19968000000000,21443000000000
15,49.724,188.7986,207.4632,18285000000000,18753000000000
16,49.9669,240.9759,171.4574,16823000000000,18459000000000
17,49.7844,204.2886,4.9529,16615000000000,17904000000000
18,49.3801,69.6589,193.1367,16304000000000,16607000000000
19,49.146,45.2442,74.8097,15628000000000,15880000000000
20,49.5906,57.3273,104.2612,15412000000000,15496000000000
21,49.928,36.5457,10.8166,15403000000000,15869000000000
22,49.8332,161.1019,104.4149,15068000000000,15287000000000
23,49.5189,164.3895,91.0948,14680000000000,16868000000000
24,49.2141,210.5358,80.4272,14551000000000,15458000000000
25,49.3198,48.1093,23.2065,14161000000000,15401000000000
26,49.6654,37.7336,0.4637,14140000000000,14668000000000
27,49.4816,152.4811,52.1852,13818000000000,14079000000000
28,49.1364,77.2597,49.4738,13691000000000,14048000000000
29,49.4489,20.8882,217.7193,13481000000000,14211000000000
30,49.8176,65.8596,241.8036,13407000000000,13621000000000
31,49.8577,3.8201,148.8726,13218000000000,14192000000000
32,49.729,189.8726,205.4347,12995000000000,14395000000000
33,49.503,139.294,179.3517,11908000000000,12104000000000
34,49.7818,216.8302,66.4947,11687000000000,11987000000000
35,49.8946,151.4935,59.5837,11351000000000,11429000000000
36,49.488,17.4344,185.2523,10562000000000,10783000000000
37,49.4923,60.9626,86.4143,10480000000000,10522000000000
38,49.3349,65.604,187.3137,9934800000000,9973000000000
39,49.2393,36.0942,104.4583,9445700000000,9900800000000
40,49.8884,145.4656,244.6205,9230100000000,9266200000000
41,49.2155,178.3763,118.7857,9040000000000,11062000000000
42,49.065,68.5067,92.2512,8970900000000,8988500000000
43,49.4111,178.3516,55.0294,8682000000000,8990400000000
44,49.7291,140.3426,45.5284,8533900000000,9699500000000
45,49.4454,170.2786,214.1804,8434200000000,8507200000000
46,49.4697,125.9953,63.2284,7873600000000,7906200000000
47,49.9657,228.3967,46.5339,7690100000000,8063200000000
48,49.5963,216.4834,249.139,7505400000000,7505600000000
49,49.5903,151.9678,98.8385,7094500000000,7129100000000
50,49.837,190.3135,1.4496,7068000000000,7972900000000
51,49.2496,63.6786,66.5096,7062200000000,7105500000000
52,49.3312,209.9154,242.7394,6980000000000,7173100000000
53,49.6814,218.8435,187.7533,6285600000000,6454400000000
54,49.6499,162.0102,103.1057,6133700000000,6407100000000
55,49.942,192.609,200.5277,6092200000000,6199300000000
56,49.9615,165.7659,83.8955,6088600000000,6223300000000
57,49.2908,86.764,188.5777,6046700000000,6526700000000
58,49.047,201.7336,13.4966,5870600000000,5909800000000
59,49.2535,163.5456,78.5667,5656300000000,6104100000000
60,49.686,76.7731,49.8645,5590700000000,5823600000000
61,49.797,228.5058,28.3178,5272000000000,5322300000000
62,49.5997,112.4225,217.3083,5197700000000,5310200000000
63,49.8883,63.3692,100.8248,4794200000000,5000600000000
64,49.8845,102.0432,89.528,4704800000000,4724500000000
65,49.0098,215.5171,163.1745,4669300000000,4842500000000
66,49.2727,167.2064,85.443,4600000000000,12291000000000
