"row_id","x","y","z","Mvir","Mtot"
1,21.0225,12.8797,8.803,130440000000000,130510000000000
2,11.297,35.6799,33.1816,101450000000000,104020000000000
3,9.6571,25.1284,21.5003,95924000000000,100340000000000
4,0.9369,28.5495,17.1161,95272000000000,95849000000000
5,13.8245,23.665,37.8615,87188000000000,89168000000000
6,14.1049,24.6511,22.6846,86365000000000,86632000000000
7,9.4942,32.3349,32.3921,82405000000000,83429000000000
8,5.7659,29.077,14.4991,71983000000000,72474000000000
9,25.586,13.2948,5.2691,71295000000000,73630000000000
10,23.5516,35.3496,6.2179,59222000000000,61801000000000
11,23.1508,3.4175,9.1472,45140000000000,45180000000000
12,9.6825,13.3107,12.4786,45064000000000,46614000000000
13,7.3163,33.0499,31.7964,40852000000000,42988000000000
14,28.2646,21.0029,18.5158,38460000000000,39573000000000
15,7.2636,22.3191,16.0647,37044000000000,38437000000000
16,4.1,27.4977,21.1522,35186000000000,35670000000000
17,12.3607,26.6863,32.0558,32213000000000,35522000000000
18,36.7188,24.3711,5.0412,27044000000000,27045000000000
19,27.4422,33.8378,4.0854,24065000000000,24822000000000
20,13.5031,24.8272,35.7124,23802000000000,24219000000000
21,35.3574,8.8091,39.5213,22004000000000,22012000000000
22,25.4539,9.6017,6.5655,20918000000000,21245000000000
23,12.1777,17.8564,13.5228,20051000000000,20624000000000
24,13.4872,26.343,29.0277,19774000000000,20379000000000
25,24.855,13.6094,6.1521,19243000000000,20379000000000
26,10.1301,22.4356,13.791,18948000000000,25014000000000
27,9.9948,19.7957,13.921,18014000000000,19928000000000
28,37.8989,9.2863,10.571,17371000000000,17605000000000
29,26.4029,18.4799,37.3942,13871000000000,14437000000000
30,10.5407,39.2273,4.0584,13688000000000,13828000000000
31,16.6027,15.1909,11.1112,13311000000000,13453000000000
32,26.2609,21.522,13.3609,12432000000000,12833000000000
33,25.4641,34.057,4.672,12131000000000,12257000000000
34,27.069,13.2816,2.955,11689000000000,12059000000000
35,34.0236,17.6474,12.5479,11567000000000,11626000000000
36,8.4364,9.5887,19.0468,11523000000000,11556000000000
37,25.8634,33.6053,1.0811,11451000000000,11681000000000
38,33.0554,13.3679,19.7785,11447000000000,11448000000000
39,21.1594,33.2611,8.3633,11333000000000,11487000000000
40,32.4074,2.1958,7.3767,10941000000000,11001000000000
41,7.6849,20.2238,15.742,10538000000000,10747000000000
42,30.5144,25.5907,23.7174,10026000000000,10069000000000
43,8.5282,25.0405,13.8762,9808900000000,9870900000000
44,2.6969,27.9037,15.7686,9711300000000,9970500000000
45,36.857,11.5279,0.1087,9669900000000,10235000000000
46,14.1646,39.145,33.4316,9628600000000,10291000000000
47,2.5892,27.6626,17.7981,9359700000000,9691400000000
48,16.8272,37.5788,14.4703,8940200000000,9077200000000
49,11.5743,0.6512,9.905,8527200000000,8618600000000
50,32.8513,23.8352,36.1956,8471100000000,8512000000000
51,36.0882,12.6623,30.4399,7460300000000,7577100000000
52,24.4704,34.2985,2.9328,6959900000000,7082100000000
53,6.4279,31.3,28.9361,6714700000000,6907300000000
54,33.0641,31.2229,33.4479,6540500000000,6543500000000
55,36.235,38.4254,2.1807,6523800000000,6537700000000
56,3.9184,27.9775,26.3935,6418900000000,6570900000000
57,13.3187,27.1306,30.4753,6216200000000,6606400000000
58,34.943,12.2209,10.6284,6175000000000,6271200000000
59,32.2752,21.513,3.8858,6152500000000,6290200000000
60,33.2203,0.7485,12.5693,5913200000000,5913200000000
61,30.6635,31.1784,25.9876,5903800000000,5913800000000
62,9.9868,19.1513,13.5357,5852000000000,6435000000000
63,10.026,29.2699,12.6178,5837400000000,5969800000000
64,8.7747,20.469,15.2514,5692900000000,7036900000000
65,27.1604,22.842,23.6012,5565600000000,5678100000000
66,4.7063,27.8968,21.9097,5325600000000,6233800000000
67,29.4162,16.7612,7.6743,5233100000000,5237600000000
68,10.2127,13.9743,16.9599,5227000000000,5261400000000
69,12.9066,24.8044,37.2374,5205600000000,5981100000000
70,4.6246,27.1566,23.0707,5044500000000,5188000000000
71,27.6202,26.7462,25.1852,4890700000000,4900500000000
72,13.8665,38.9706,33.6711,4798500000000,6298300000000
73,1.3732,16.2092,35.102,4739700000000,4821300000000
74,13.2241,15.9615,33.6761,4669000000000,4669000000000
75,14.6596,4.7754,9.647,4569800000000,4763500000000
76,28.4142,2.4398,8.4391,4567800000000,4580200000000
77,35.2907,10.1282,27.5621,4557300000000,4947900000000
78,32.8349,16.698,10.8354,4539400000000,4580200000000
79,1.7149,10.112,18.2508,4504600000000,4613200000000
80,22.6117,37.6368,8.4276,4450600000000,5247300000000
81,1.8818,6.8572,34.5086,4438700000000,4439300000000
82,8.6313,6.4145,10.299,4410800000000,4556300000000
83,25.0399,32.8552,0.2713,4277900000000,4317100000000
84,4.8856,28.1149,25.1255,4240700000000,5859900000000
85,27.9648,16.0099,32.372,4093600000000,4429700000000
86,9.4595,38.5608,22.6336,4062800000000,4080300000000
87,24.9394,11.177,3.8409,4048200000000,4055900000000
88,27.8586,31.3683,1.09,4014900000000,4035500000000
89,11.6841,38.6941,35.953,4007300000000,4018400000000
90,14.6652,38.0451,4.4476,3972600000000,4042900000000
91,38.4907,9.6481,11.0159,3956800000000,4123000000000
92,9.4248,28.8486,15.687,3929000000000,4264700000000
93,34.7532,35.6857,35.64,3861000000000,4019800000000
94,35.0081,33.22,30.9419,3745100000000,3745200000000
95,0.7492,37.0155,20.527,3665300000000,4332600000000
96,26.4574,18.6296,37.4768,3662600000000,4942300000000
97,29.4131,22.5255,20.7973,3519800000000,3627300000000
98,25.5354,25.9445,30.714,3507000000000,3677200000000
99,26.4442,8.084,6.6028,3507000000000,3630400000000
100,33.2124,27.7234,25.1679,3495100000000,4626100000000
101,4.3126,13.8814,26.4698,3493300000000,3505500000000
102,32.498,30.2151,24.7831,3448000000000,3532800000000
103,33.7329,11.7742,9.4198,3445400000000,4717800000000
104,5.9473,30.291,27.3547,3361500000000,3557700000000
105,10.7629,21.1259,13.7383,3282500000000,3402900000000
106,31.7298,17.0041,9.9683,3253400000000,3325300000000
107,16.146,19.0013,36.585,3228600000000,3243000000000
108,12.2124,26.5795,32.1051,3228300000000,7006300000000
109,37.2231,12.9754,27.9586,3227800000000,3296900000000
110,33.5876,15.4628,19.8908,3172800000000,3184400000000
111,36.5635,36.9314,36.8219,3163300000000,3277500000000
112,1.8316,35.52,20.2962,3078300000000,3147700000000
113,39.6714,21.4214,13.0321,3061700000000,3067400000000
114,10.0674,24.9526,21.7996,2976000000000,4758700000000
115,33.1752,24.4481,26.2735,2938600000000,2940200000000
116,3.6388,34.0831,31.5262,2932600000000,2995200000000
117,9.6066,27.9391,27.8952,2905300000000,2912900000000
118,26.5582,12.8671,2.5141,2897400000000,3237600000000
119,8.3754,28.8515,15.5524,2858700000000,2871800000000
120,10.794,21.4868,20.6706,2858000000000,2879700000000
121,6.6036,22.7341,16.2059,2830800000000,2996300000000
122,15.175,25.1991,11.7061,2828400000000,2852300000000
123,23.4102,15.6087,9.8736,2817900000000,3121500000000
124,27.4061,21.3689,14.1135,2802400000000,2806100000000
125,4.441,0.1493,22.1509,2793300000000,2952600000000
126,9.1326,17.1536,14.106,2793000000000,3200200000000
127,9.6764,25.1768,21.5992,2775100000000,8511200000000
128,1.5779,31.3702,18.6253,2769400000000,2815300000000
129,36.7897,20.3684,11.5582,2767200000000,2790900000000
130,34.1119,0.9932,38.5357,2734400000000,2796800000000
131,29.5983,23.2311,31.4158,2733400000000,2737800000000
132,9.1961,17.4126,14.1985,2707000000000,3380300000000
133,6.9256,34.0591,32.0275,2686800000000,2876600000000
134,15.5042,39.306,5.7686,2685400000000,2713800000000
135,13.7661,23.1824,37.7307,2647100000000,3125100000000
136,14.6826,30.5354,11.4899,2621100000000,2785200000000
137,8.5181,33.189,32.4679,2620000000000,3226600000000
138,15.14,19.0949,35.9242,2609600000000,2618000000000
139,23.4144,18.9069,20.4342,2603600000000,2609300000000
140,31.2186,26.3631,24.0635,2595800000000,2640900000000
141,37.8798,37.3686,18.0229,2560700000000,2996600000000
142,39.5402,13.7229,21.7031,2554800000000,2671300000000
143,1.2093,9.8969,18.4069,2548600000000,2604100000000
144,4.1588,29.6701,21.6562,2516300000000,2553800000000
145,25.5852,19.4301,13.7967,2513100000000,2549700000000
146,10.5333,15.9083,14.452,2475400000000,2537900000000
147,29.3445,15.927,1.3547,2440600000000,2450900000000
148,22.3875,36.6913,7.8917,2422900000000,2436800000000
149,8.619,11.7518,12.3893,2395800000000,2432700000000
150,24.1391,16.5687,10.3013,2372400000000,2469700000000
151,19.4001,11.1926,23.59,2359700000000,2437600000000
